participantId,trialNumber,block,timePressure,complexity,trialType,hmm_state,state_label,is_shift,rt_norm,choice_entropy,responseTimeMs,timedOut,pointsEarned
AUA-20260201-154949-463,11,1,low,low,flanker,1,Intuitive,0,-1.1913418170327044,3.4661976109059574e-09,1305,False,125
AUA-20260201-154949-463,12,1,low,low,gamble,1,Intuitive,0,0.4844611405703363,3.4661976109059574e-09,3056,False,115
AUA-20260201-154949-463,13,1,low,low,reverse-stroop,1,Intuitive,0,0.1762894944548713,3.4661976109059574e-09,2734,False,125
AUA-20260201-154949-463,14,1,low,low,numerical-stroop,1,Intuitive,0,-0.1730355081294289,3.4661976109059574e-09,2369,False,125
AUA-20260201-154949-463,15,1,low,low,flanker,1,Intuitive,0,-0.0715876991597417,3.4661976109059574e-09,2475,False,125
AUA-20260201-154949-463,16,1,low,low,number-word,1,Intuitive,0,0.5323138806503774,0.6500224216483541,3106,False,125
AUA-20260201-154949-463,17,1,low,low,gamble,1,Intuitive,0,2.1880186874198007,0.863120568566631,4836,False,145
AUA-20260201-154949-463,18,1,low,low,crt,1,Intuitive,0,0.691184977716114,0.8112781244591328,3272,False,145
AUA-20260201-154949-463,19,1,low,low,number-word,1,Intuitive,0,-0.4591948938080749,0.9182958340544896,2070,False,125
AUA-20260201-154949-463,20,1,low,low,flanker,1,Intuitive,0,0.762007033034575,0.8812908992306927,3346,False,125
AUA-20260201-154949-463,21,2,low,high,reverse-stroop,1,Intuitive,0,-0.1931336589630462,0.8812908992306927,2348,False,125
AUA-20260201-154949-463,22,2,low,high,flanker,1,Intuitive,0,-0.2783115363055194,0.8812908992306927,2259,False,125
AUA-20260201-154949-463,23,2,low,high,crt,1,Intuitive,0,1.875061767296332,0.9709505944546686,4509,False,145
AUA-20260201-154949-463,24,2,low,high,gamble,1,Intuitive,0,1.998521836702838,0.9709505944546686,4638,False,115
AUA-20260201-154949-463,25,2,low,high,stroop,1,Intuitive,0,0.361958125965431,0.9709505944546686,2928,False,125
AUA-20260201-154949-463,26,2,low,high,reverse-stroop,1,Intuitive,0,0.1217373707636244,0.8812908992306927,2677,False,125
AUA-20260201-154949-463,27,2,low,high,reverse-stroop,1,Intuitive,0,-0.469722496625684,0.7219280948873623,2059,False,125
AUA-20260201-154949-463,28,2,low,high,gamble,1,Intuitive,0,0.5610255246984022,0.8812908992306927,3136,False,155
AUA-20260201-154949-463,29,2,low,high,stroop,1,Intuitive,0,0.1581054532244557,0.8812908992306927,2715,False,125
AUA-20260201-154949-463,30,2,low,high,reverse-stroop,1,Intuitive,0,-0.3175507831711531,0.9709505944546686,2218,False,125
AUA-20260201-154949-463,31,3,high,low,crt,1,Intuitive,0,-0.9051824313540584,1.0,1604,False,145
AUA-20260201-154949-463,32,3,high,low,gamble,1,Intuitive,0,0.2442403853685298,0.9709505944546686,2805,False,125
AUA-20260201-154949-463,33,3,high,low,reverse-stroop,1,Intuitive,0,-0.4936488666657045,1.0,2034,False,125
AUA-20260201-154949-463,34,3,high,low,numerical-stroop,1,Intuitive,0,0.8337861431546366,1.0,3421,False,125
AUA-20260201-154949-463,35,3,high,low,numerical-stroop,1,Intuitive,0,-0.7606671563123341,0.9709505944546686,1755,False,125
AUA-20260201-154949-463,36,3,high,low,flanker,1,Intuitive,0,-0.9204953081796716,0.9709505944546686,1588,False,125
AUA-20260201-154949-463,37,3,high,low,stroop,1,Intuitive,0,-1.067881747626198,0.9709505944546686,1434,False,125
AUA-20260201-154949-463,38,3,high,low,stroop,1,Intuitive,0,0.4270378524742869,0.9709505944546686,2996,False,125
AUA-20260201-154949-463,39,3,high,low,number-word,1,Intuitive,0,1.177368816929332,0.9709505944546686,3780,False,125
AUA-20260201-154949-463,40,3,high,low,stroop,1,Intuitive,0,-1.0449124323877783,0.9709505944546686,1458,False,125
