participantId,nickname,age,gender,occupation,field,education,stress,sleep,gaming,handedness,trialNumber,block,timePressure,complexity,timeLimit,trialType,choice,responseTimeMs,timedOut,pointsEarned,totalScoreAfter,timestamp,rt_norm,rt_trend,choice_entropy,perf_delta_norm,timeout_flag
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,11,1,low,low,12,flanker,B,1305,False,125,125,2026-02-01T15:50:28.770Z,-1.1913418170327044,0.0,3.4661976109059578e-09,-0.1456326430824482,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,12,1,low,low,12,gamble,B,3056,False,115,240,2026-02-01T15:50:32.341Z,0.4844611405703363,0.0,3.4661976109059578e-09,-1.0848374046122482,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,13,1,low,low,12,reverse-stroop,B,2734,False,125,365,2026-02-01T15:50:36.043Z,0.17628949445487138,0.0,3.4661976109059578e-09,-0.7717691507689807,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,14,1,low,low,12,numerical-stroop,B,2369,False,125,490,2026-02-01T15:50:39.962Z,-0.17303550812942892,0.0,3.4661976109059578e-09,-0.6152350238473483,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,15,1,low,low,12,flanker,B,2475,False,125,615,2026-02-01T15:50:43.106Z,-0.07158769915974171,0.15820115870461604,3.4661976109059578e-09,-0.5213145476943682,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,16,1,low,low,12,number-word,A,3106,False,125,740,2026-02-01T15:50:46.755Z,0.5323138806503774,-0.015217171345453084,0.6500224216483541,-0.4587008969257158,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,17,1,low,low,12,gamble,A,4836,False,145,885,2026-02-01T15:50:52.813Z,2.1880186874198007,0.4728807774709665,0.863120568566631,0.12271157449749504,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,18,1,low,low,12,crt,B,3272,False,145,1030,2026-02-01T15:50:56.216Z,0.691184977716114,0.39880473582706283,0.8112781244591328,0.5587709280649018,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,19,1,low,low,12,number-word,A,2070,False,125,1155,2026-02-01T15:50:59.932Z,-0.45919489380807493,-0.061634329223092976,0.9182958340544896,0.4805038646040869,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,20,1,low,low,12,flanker,B,3346,False,125,1280,2026-02-01T15:51:03.430Z,0.762007033034575,-0.21878272764594808,0.8812908992306927,0.4178902138354318,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,21,2,low,high,12,reverse-stroop,B,2348,False,125,1405,2026-02-01T15:51:07.131Z,-0.1931336589630462,-0.4691482637447233,0.8812908992306927,0.4178902138354318,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,22,2,low,high,12,flanker,B,2259,False,125,1530,2026-02-01T15:51:09.135Z,-0.2783115363055194,-0.16729317931982382,0.8812908992306927,0.6057311661413918,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,23,2,low,high,12,crt,A,4509,False,145,1675,2026-02-01T15:51:14.283Z,1.8750617672963317,0.3628194752868719,0.9709505944546686,0.9814130707533117,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,24,2,low,high,12,gamble,B,4638,False,115,1790,2026-02-01T15:51:20.712Z,1.998521836702838,0.45412250335959037,0.9709505944546686,0.7935721184473518,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,25,2,low,high,12,stroop,B,2928,False,125,1915,2026-02-01T15:51:24.377Z,0.361958125965431,0.33870169428653113,0.9709505944546686,0.7935721184473518,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,26,2,low,high,12,reverse-stroop,B,2677,False,125,2040,2026-02-01T15:51:28.679Z,0.12173737076362448,-0.07130058271926132,0.8812908992306927,0.7935721184473518,0
AUA-20260201-154949-463,Igor,22,M,employed,humanities,bachelor_progress,4,yes,never,right,27,2,low,high,12,reverse-stroop,B,2059,False,125,2165,2026-02-01T15:51:31.500Z,-0.469722496625684,-0.6566352993783244,0.7219280948873623,0.4178902138354318,0
