participantId,nickname,age,gender,occupation,field,education,stress,sleep,gaming,handedness,trialNumber,block,timePressure,complexity,timeLimit,trialType,choice,responseTimeMs,timedOut,pointsEarned,totalScoreAfter,timestamp
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,11,1,low,low,12,number-word,B,4486,False,125,125,2026-04-26T20:37:03.011Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,12,1,low,low,12,stroop,B,3098,False,125,250,2026-04-26T20:37:06.814Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,13,1,low,low,12,reverse-stroop,A,2361,False,125,375,2026-04-26T20:37:09.877Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,14,1,low,low,12,gamble,B,5324,False,145,520,2026-04-26T20:37:15.906Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,15,1,low,low,12,flanker,A,3202,False,125,645,2026-04-26T20:37:19.816Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,16,1,low,low,12,stroop,B,2557,False,125,770,2026-04-26T20:37:23.078Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,17,1,low,low,12,flanker,A,2603,False,125,895,2026-04-26T20:37:26.384Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,18,1,low,low,12,stroop,B,2998,False,125,1020,2026-04-26T20:37:30.085Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,19,1,low,low,12,gamble,B,3631,False,155,1175,2026-04-26T20:37:34.418Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,20,1,low,low,12,crt,B,8987,False,145,1320,2026-04-26T20:37:44.107Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,21,2,low,high,12,number-word,B,3622,False,125,1445,2026-04-26T20:38:26.835Z
AUA-20260427-003455-965,Edvard,20,M,both,stem,bachelor_progress,2,no,occasionally,right,22,2,low,high,12,stroop,B,2775,False,125,1570,2026-04-26T20:38:30.315Z
